index,REF string,HYP string,HYP string 2,WER(%),WER(%),
1,어빌리티 레시피를 미리 확인하고 사용하지 않은 사람들이 바보가 된 상황이다,어빌리티 레시피를 미리 확인하고 사용하지 않은 사람들이 바보가 된 상황이다,어빌리티 레시피를 확인하고 사용하지 않은 사람들이 바보가 되는 상황이다,10,,어빌리티 레시피를 미리 확인하고 사용하지 않은 사람들이 바보가 된 사항이다
2,카오스 서큘레이터의 수급처를 늘리거나 접근성을 낮출 계획이 있나,카오스 서큘레이터 수급처를 늘리거나 접근성을 낮출 계획이 있나,카오스서큘레이터에 숙제를 늘리거나 접근성을 낮출 계획이 있나,55.5556,,카오스서큘레이터 S 급 차를 늘리거나 접근성을 낮출 계획이 있나?
3,이는 사냥 분야에서 최고 옵션인데 유저가 직접 이 옵션이 나오지 않는다는 것을 알기 위해선 총 4억 5천만 원 어치를 돌려야한다,이는 4냥 분야에서 최고 옵션 인데 유저가 직접 이 옵션이 나오지 않는다는 것을 알기 위해서 총 400000005 천만 원으로 치를 돌려야 한다,이는 사장 분야에서 최고의 편인데 유저가 직접 옵션이 나오지 않는다는 것을 알기 위해서 총 4억 5천만 원 어치를 돌려야 한다,57.8947,,이는 사장 분야에서 최고의 옵션인데 유저가 직접 7시 사이 나오지 않는다는 것을 알기 위해서는 종사하고 천만 원어치를 돌려야 한다.
4,노블 스킬 외에 적절한 보상 제공이 필요하다 유니온 코인 상점 NPC처럼 길드 상점을 만들어주는 방식을 추가하는 것은 어떨까,노블 스킬 외에 적절한 보상 제공이 필요하다 유니온 코인 상점 NPC 처럼 길드 상점을 만들어 주는 방식을 추가하는 것은 어떨까,노블레스 키메 적절한 보상 제공이 필요하다 유니온 코인상점 mpc처럼 길드상점를 만들어 주는 방식을 추가하는 것이 어떨까,70.5882,,왜 적절한 부산대 고기 필요하다 유니온 코인 상자에 PC처럼 길드상점을 만들어 주는 방식을 추가 하는 것은 어떨까
5,레벨업 수단의 다양화가 필요한 상황인데 파티 퀘스트 개선 보스 레이드 몬스터파크 일일퀘스트의 클리어 경험치 상향 등이 현실성이 있다고 생각한다,레벨업 수단의 다양화가 필요한 상황인데 파티 퀘스트 개선 보스레이드 몬스터 파크 01일 퀘스트의 클리어 경험치 상향 등이 현실성이 있다고 생각한다,레벨업 수단의 다양화가 필요한 상황인데 파티퀘스트 개선 보스레이드 몬스터파크 퀘스트클리어 경험치 상향등이 현실성 있다고 생각한다,50,,레벨업 수단의 다양하다 필요한 상황인데 파티퀘스트 개선 보스레이드 몬스터파크 퀘스트 클리어 경험치 상향등이 현실성이 있다고 생각한다
6,확실하고 올바른 템포로 발판을 넘고 활공하면서 맵의 기믹을 조작해 스테이지를 헤쳐나간다,확실하고 올바른 템포로 발판을 넘고 활공 하면서 맵의 기믹을 조작해 스테이지를 헤쳐나간다,혹시라고 올바른 10% 발판을 넘고 활동하면서 베베의 부족해 스테이지를 찾아간다,63.6364,,확실하고 올바른 10% 팔팔 넘고 활동하면서 매매금액을 조작해 스테이지를 쳐 나갔다
7,특히 설치된 별 하나로 중력의 샘 신성 파동 성운 등 3종류의 스킬을 자유자재로 쓸 수 있다는 것이 매력적이다,특히 설치된 별 하나로 중력의 샘 신성 파동 성운 등 세 종류의 스킬을 자유자재로 쓸 수 있다는 것이 매력적이다,특히 설치된 * 1로 중력의 샘 신성 파동 성운 등 세 종류의 스키를 자유자재로 쓸 수 있다는 것이 매력적이다,47.0588,,특히 설치된 * 1로 중력의 샘 신성 파동 1등 최종률 스키를 타요 찾을 수 있다는 것이 매력적이다
8,부족의 젊은 오크 로카라는 명예와 영광을 찾기 위해 오그리마로 향한다.,부족의 젊은 오크 로카라 명예와 영광을 찾기 위해 오그리마 로 향한다,부족의 젊은 오크 로컬 않은 명예와 영광을 잡기 위해 오그리마로 향한다,40,,부족의 젊은 오크 록 하라는 명예와영광 찾기 위해 오그리마로 향한다
9,상급 골렘에 도발 전투의 함성 카드를 2장 뽑습니다 효과가 있는 걸 확인할 수 있다,상급 골렘의 도발 전투의 함성 카드를 2장 뽑습니다 효과가 있는 걸 확인할 수 있다,상급 코랩에 도발 전투의 함성 카드를 두 장 뽑습니다 효과가 있는 걸 확인할 수 있다,20,,상급 골렘의 도발 전투의 함성 카드를 두 장 뽑습니다 효과가 있는 걸 확인할 수 있다
10,검귀 사무로를 통해서 새로운 효과 광란이 소개됐다 광란은 하수인이 처음 피해를 받고 살아남으면 발동하는 효과다,검귀 사무로 를 통해서 새로운 효과 광란 이 소개됐다 광란 하수인이 처음 피해를 받고 살아남으면 발동하는 효과도,검기 사물을 통해서 새로운 효과 광란의 소개됐다 광나는 하수인이 처음 피해를 받고 살아남으면 달 동안 효과다,50,,검빛 사물을 통해서 새로운 효과 광란의 소리 됐다 광나는 하수인이 처음 피해를 받고 살아남으면 발동효과 다
11,처음 베타키를 받아서 캐릭터를 생성하고 액트2의 마지막 보스인 듀리엘을 쓰러트리기까지,처음 베타키 를 받아서 캐릭터를 생성하고 액트2 의 마지막 보스인 듀리엘 쓰러뜨리기,처음 베타키를 받아서 캐리 캐롤 생성하고 액트 2의 마지막 코스인 규례를 쓰러뜨리게까지,63.6364,,처음 부탁해를 받아서 캐릭터를 생성하고 액트 2 마지막 코스인 규례를 쓰러지기까지
12,디아2 레저렉션은 그래픽 리마스터가 된 부분을 제외하면 대부분의 시스템이 20년 전 그대로입니다,디아2 to 레저렉션 그래픽 리마스터가 된 부분을 제외하면 대부분의 시스템이 이십년전 그대로입니다,디아 2 레저렉션은 그래픽 리마스터가 된 부분을 제외하면 대부분의 시스템의 20년전 그대로입니다,15.3846,,디아 2 레저렉션은 그래픽 리마스터가 된 부분을 제외하면 대부분의 시스템이 20년 전 그대로입니다
13,모으기변화 해제 후 3단계 차지 임팩트 크레이터 콤보 모으기변화 해제 후 3단계 차지 훨윈드 콤보,모으기변화 해제 후 삼단계 차지 임팩트 크레이터 콤보 모으기변화 해제 후 삼단계 차지 훨윈드 콤보,모기 변화 해제후 3단계 차지 임팩트 크레이터 콤보 모으기 변화 해제후 3단계 자지 휠윈드 콤보,64.2857,,모기 변화 해제후 3단계 차지 임팩트 그레이트콤보 모기 변화 해제후 3단계 차지 캘린더 콤보
14,비상용검 금강연부와 교체하여 사용할 수 있는 벌레철사 기술,비상용검 금강연부 와 교체하여 사용할 수 있는 벌레철사 기술,기상 용검 금강 연구와 교체하여 사용할 수 있는 벌레 철사 기술,50,,비상 용검 금강연화 교체하여 사용할 수 있는 벌레 철사 기술
15,티켓제인 오퍼레이션과 러시는 말할 것도 없고 컨퀘스트 심지어 팀 데스매치에서도 적의 카운트를 깔 수 있다,티켓제인 오퍼레이션 러시는 말할 것도 없고 컨퀘스트 심지어 팀 데스매치 적의 카운터를 깔 수 있다,티켓 제인 오퍼레이션과 러쉬는 말할 것도 없고 컴캐스트 심지어 팀데스매치에서도 저게 카운트를 깔 수 있다,46.1538,,티켓베이 오퍼레이션과 엇이든 말할 것도 없고 컴캐스트 심지어 팀데스매치에서도 카운트를 깔 수 있다
16,잘했다 하수인들아 이제 켈투자드 앞에 무릎 꿇어라,잘했다 하수인들아 이제 켈투자드 앞에 무릎 꿇어라,잘했다 신드라 이제 켈투자드 앞에 무릎 꿇어라,28.5714,,잘했다 신드라 이제 결투자들 앞에 무릎 꿇어라
17,그 유명한 설퍼라스를 들고 근접 공격을 하며 불의 군주이자 정령 군주라는 칭호가 무색하지 않게 공격로 하나에 넓은 화염을 날리는 궁극기도 있다,그 유명한 설퍼라스 를 들고 근접 공격을 하며 불의 군주 의자 정령 군주 라는 칭호가 무색하지 않게 공격력 하나에 넓은 화염을 날리는 궁극기도 있다,그 유명한 설퍼라스를 들고 근접공격을 하며 불의군주의 자정력 군주라는 친구가 무색하지 않게 공경도하 나의 넓은 화염을 날리는 궁극기로 있다,55,,그 유명한 설퍼라스를 들고 집 근접공격을 하며 불의군주의 자 정령군주라는 친구가 검색하지 않게 공경도하 나의 넓은 화염을 날리는 굵기도 있다
18,서리한이 굶주렸다처럼 평타 강화기로 광역 피해에 피해에 비례해서 체력까지 회복되므로 생존력에도 도움이 되는 기술,서리한이 굶주렸다 처럼 평타 강화기 강력 비해 피해의 비례해서 체력까지 회복되고 생존율도 도움이 되는 기술,설현의 굶지 라떼처럼 평타 강하기로 광역피해 피의길에서 체력까지 회복되므로 세종의 도움이 되는 기술,64.2857,,소리 아니 굶주렸다처럼 평타 강하기로 가격 피해 피해 비례에서 체력까지 회복되므로게 도움이 되는 기술
19,붐지옥함선으로 카드가가 소환될 경우 카드가를 제외한 나머지 두 하수인의 복사본까지 소환된다,붐지옥함선 카드가가 소환될 경우 카드가 를 제외한 나머지 두 하수인 복사본 까지 소환된다,붐지옥함선으로 카드가 소원 되려고 카드가를 제외한 나머지 두 하수인의 복사본까지 수원 된다,27.2727,,붐지옥함선으로 카드가 가수 안될경우 카드가를 제외한 나머지 두 하수인의 복사본까지 소환된다
20,우린 하나가 되어야 한다 연합하라 달라란을 위해,우린 하나가 되어야 한다 연합하라 달라란 을 위해,우린 하나가 되어야 한다 연합하라 달 나라를 위해,14.2857,,우린 하나가 되어야 한다 연합하라 발랄한을 위해
21,드락사르의 황혼검을 구입할래,드락사르의 황혼검 을 구입할,산악거인가 라스타칸 확장팩에서 출시된 사제카드 무덤퀘 수가 있는데 창조술사의 부름을 산악 거인의 바르면 높은 확률로 무덤괴수 나온다는 점을 이유,29.4118,,과거인가 라스타칸 확장팩에서 출시된 사제카드 무덤괴수가 있는데 창조술사의 구름을 산악거인에 바르면 높은 확률로 무덤괴수 나온다는 점을 이용
22,윈도우 브레이커를 장착할게,윈도우 브레이커 를 장착하게,스톰클록에 소장 울프릭 스톰클록 스톰클록 병사 와 함께 혈관으로 이송되어 처형당할 위기에 처한다,64.2857,,스톰클록 에스장 물풀이 스톰클록 병사 나루토 함께 할게 2로 이송되어 채용 당할 위기에 처한다
